"max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
89,161,162,162,0,1,0.1840554,162,1.408679,0.2635315
91,157,162,114,1,3,0.1840554,162,1.466618,0.2668004
92,160,162,159,0,4,0.1840554,162,1.448012,0.2657506
88,161,162,133,1,1,0.1840554,162,1.395758,0.2628025
98,161,162,162,2,2,0.1840554,162,1.811231,0.286243
88,159,162,162,1,1,0.1840554,162,1.452968,0.2660302
86,160,162,139,0,3,0.1840554,162,1.189937,0.2511903
84,160,162,72,1,2,0.1840554,162,1.246776,0.2543971
88,159,162,97,1,1,0.1840554,162,1.320498,0.2585564
83,158,162,92,1,1,0.1840554,162,0.7227939,0.2248346
87,160,162,85,0,0,0.1840554,162,1.403246,0.2632249
87,160,162,142,0,1,0.1840554,162,1.304874,0.2576749
86,161,162,73,1,3,0.1840554,162,0.9808424,0.2393934
81,161,162,48,1,1,0.1840554,162,0.9764691,0.2391467
87,160,162,77,0,2,0.1840554,162,0.9310933,0.2365866
79,160,162,74,0,1,0.1840554,162,0.6850778,0.2227067
93,158,162,104,0,2,0.1840554,162,0.6944472,0.2232353
81,159,162,111,0,2,0.1840554,162,0.7974837,0.2290485
78,159,162,82,1,3,0.1840554,162,0.6765831,0.2222275
80,159,151,87,0,0,0.1829192,161,0.5116587,0.2116127
77,157,162,40,0,0,0.1840554,162,0.2825132,0.1999945
78,160,162,91,0,0,0.1840554,162,0.7438252,0.2260212
76,158,162,97,0,1,0.1840554,162,0.3808451,0.2055422
84,158,162,87,0,2,0.1840554,162,0.8233389,0.2305073
77,158,162,49,0,0,0.1840554,162,0.2027742,0.1954957
81,158,162,53,0,0,0.1840554,162,0.2160795,0.1962464
70,159,162,29,0,0,0.1840554,162,0.3471181,0.2036394
78,159,162,51,0,1,0.1840554,162,0.3234892,0.2023063
75,157,144,34,0,0,0.1829192,161,0.2756457,0.1983772
82,158,162,47,1,1,0.1840554,162,0.5058407,0.2125944
86,158,162,54,0,2,0.1840554,162,0.4364252,0.208678
88,158,162,126,0,1,0.1840554,162,0.8954446,0.2345754
76,159,162,68,0,0,0.1840554,162,0.7897179,0.2286104
81,160,162,77,0,1,0.1840554,162,0.8432704,0.2316318
87,159,162,104,0,2,0.1840554,162,0.7908576,0.2286747
80,159,162,117,1,2,0.1840554,162,0.7651747,0.2272257
79,159,162,69,1,3,0.1840554,162,0.5057744,0.2125906
82,162,162,151,0,0,0.1840554,162,0.9457768,0.2374151
81,158,162,114,0,1,0.1840554,162,0.8693111,0.233101
87,160,162,77,1,2,0.1840554,162,1.068493,0.2443386
93,161,162,142,1,2,0.1840554,162,1.382029,0.2620279
86,160,162,153,0,1,0.1840554,162,1.254582,0.2548375
98,160,162,117,1,2,0.1840554,162,1.395785,0.262804
92,160,162,160,0,2,0.1840554,162,1.329855,0.2590843
88,160,162,90,0,1,0.1840554,162,1.176221,0.2504165
90,160,162,59,0,0,0.1840554,162,0.9288139,0.236458
95,161,162,148,0,2,0.1840554,162,1.804604,0.2858692
84,160,162,157,0,0,0.1840554,162,1.383222,0.2620952
91,160,162,124,1,2,0.1840554,162,0.96706,0.2386158
100,161,162,142,0,0,0.1840554,162,1.170297,0.2500822
90,161,162,123,0,6,0.1840554,162,1.321612,0.2586192
87,161,162,146,2,3,0.1840554,162,1.048906,0.2432335
85,161,162,156,0,0,0.1840554,162,1.171291,0.2501383
86,159,162,90,0,0,0.1840554,162,1.376185,0.2616982
94,161,162,162,1,1,0.1840554,162,1.644663,0.2768454
79,159,162,103,1,4,0.1840554,162,0.8886197,0.2341903
78,157,117,66,0,0,0.1829192,161,0.3522546,0.2026734
76,157,162,74,0,1,0.1840554,162,0.2771062,0.1996894
85,160,149,75,1,1,0.1829192,161,1.066906,0.2427505
78,158,162,93,0,2,0.1840554,162,0.8085626,0.2296736
82,161,162,82,0,2,0.1840554,162,0.6869729,0.2228136
76,158,162,37,0,0,0.1840554,162,0.3957274,0.2063819
89,159,162,96,1,2,0.1840554,162,1.087855,0.2454309
78,160,162,58,1,2,0.1840554,162,0.7798449,0.2280534
83,159,162,77,0,1,0.1840554,162,0.6988337,0.2234828
84,159,162,91,0,0,0.1840554,162,0.9145412,0.2356528
84,160,162,162,0,0,0.1840554,162,1.01396,0.2412619
86,160,144,84,0,1,0.1829192,161,1.256322,0.2533728
83,160,162,102,1,3,0.1840554,162,0.825022,0.2306022
94,161,162,148,0,0,0.1840554,162,1.354941,0.2604997
89,160,162,128,0,0,0.1840554,162,1.395732,0.262801
90,159,162,110,1,2,0.1840554,162,1.459144,0.2663787
96,162,162,154,0,3,0.1840554,162,1.975413,0.295506
